"id","tipo","ncm","nacionalfederal","importadofederal","estadual","municipal","versao"
"323","0","3048910","4.20","9.89","7.00","0.00","16.2.B"
"324","0","3048920","4.20","9.89","7.00","0.00","16.2.B"
"325","0","3048930","4.20","9.89","7.00","0.00","16.2.B"
"326","0","3048940","4.20","9.89","7.00","0.00","16.2.B"
"327","0","3048990","4.20","9.89","7.00","0.00","16.2.B"
"328","0","3049100","4.20","9.89","7.00","0.00","16.2.B"
"329","0","3049211","4.20","9.89","7.00","0.00","16.2.B"
"330","0","3049212","4.20","9.89","7.00","0.00","16.2.B"
"331","0","3049219","4.20","9.89","7.00","0.00","16.2.B"
"332","0","3049221","4.20","9.89","7.00","0.00","16.2.B"
"333","0","3049222","4.20","9.89","7.00","0.00","16.2.B"
"334","0","3049229","4.20","9.89","7.00","0.00","16.2.B"
"335","0","3049300","4.20","9.89","7.00","0.00","16.2.B"
"336","0","3049400","4.20","9.89","7.00","0.00","16.2.B"
"337","0","3049500","4.20","9.89","7.00","0.00","16.2.B"
"338","0","3049900","4.20","9.89","7.00","0.00","16.2.B"
"339","0","3051000","13.45","19.14","17.00","0.00","16.2.B"
"340","0","3052000","13.45","19.14","17.00","0.00","16.2.B"
"341","0","3053100","13.45","19.14","17.00","0.00","16.2.B"
"342","0","3053210","13.45","15.45","17.00","0.00","16.2.B"
"343","0","3053220","13.45","19.14","17.00","0.00","16.2.B"
"344","0","3053290","13.45","19.14","17.00","0.00","16.2.B"
"345","0","3053910","13.45","19.14","17.00","0.00","16.2.B"
"346","0","3053990","13.45","19.14","17.00","0.00","16.2.B"
"347","0","3054100","15.38","21.07","17.00","0.00","16.2.B"
"348","0","3054200","15.38","21.07","17.00","0.00","16.2.B"
"349","0","3054300","13.45","19.14","17.00","0.00","16.2.B"
"350","0","3054400","13.45","19.14","17.00","0.00","16.2.B"
"351","0","3054910","15.38","17.38","17.00","0.00","16.2.B"
"352","0","3054920","13.45","19.14","17.00","0.00","16.2.B"
"353","0","3054990","13.45","19.14","17.00","0.00","16.2.B"
"354","0","3055100","15.38","17.38","17.00","0.00","16.2.B"
"355","0","3055910","15.38","17.38","17.00","0.00","16.2.B"
"356","0","3055990","15.38","21.07","17.00","0.00","16.2.B"
"357","0","3056100","15.38","21.07","17.00","0.00","16.2.B"
"358","0","3056200","15.38","17.38","17.00","0.00","16.2.B"
"359","0","3056300","13.45","19.14","17.00","0.00","16.2.B"
"360","0","3056400","13.45","19.14","17.00","0.00","16.2.B"
"361","0","3056910","13.45","19.14","17.00","0.00","16.2.B"
"362","0","3056990","13.45","19.14","17.00","0.00","16.2.B"
"363","0","3057100","13.45","19.14","17.00","0.00","16.2.B"
"364","0","3057100","15.38","21.07","17.00","0.00","16.2.B"
"365","0","3057200","15.38","21.07","17.00","0.00","16.2.B"
"366","0","3057200","13.45","19.14","17.00","0.00","16.2.B"
"367","0","3057200","13.45","19.14","17.00","0.00","16.2.B"
"368","0","3057900","15.38","21.07","17.00","0.00","16.2.B"
"369","0","3057900","13.45","19.14","17.00","0.00","16.2.B"
"370","0","3057900","13.45","19.14","17.00","0.00","16.2.B"
"371","0","3061110","13.45","19.14","0.00","0.00","16.2.B"
"372","0","3061190","13.45","19.14","0.00","0.00","16.2.B"
"373","0","3061200","13.45","19.14","0.00","0.00","16.2.B"
"374","0","3061400","13.45","19.14","0.00","0.00","16.2.B"
"375","0","3061500","13.45","19.14","0.00","0.00","16.2.B"
"376","0","3061610","13.45","19.14","0.00","0.00","16.2.B"
"377","0","3061690","13.45","19.14","0.00","0.00","16.2.B"
"378","0","3061710","13.45","19.14","0.00","0.00","16.2.B"
"379","0","3061790","13.45","19.14","0.00","0.00","16.2.B"
"380","0","3061910","13.45","19.14","0.00","0.00","16.2.B"
"381","0","3061990","13.45","19.14","0.00","0.00","16.2.B"
"382","0","3062100","13.45","19.14","0.00","0.00","16.2.B"
"383","0","3062200","13.45","19.14","0.00","0.00","16.2.B"
"384","0","3062400","13.45","19.14","0.00","0.00","16.2.B"
"385","0","3062500","13.45","19.14","0.00","0.00","16.2.B"
"386","0","3062600","13.45","19.14","0.00","0.00","16.2.B"
"387","0","3062700","13.45","19.14","0.00","0.00","16.2.B"
"388","0","3062910","13.45","19.14","0.00","0.00","16.2.B"
"389","0","3062990","13.45","19.14","0.00","0.00","16.2.B"
"390","0","3071100","13.45","19.14","0.00","0.00","16.2.B"
"391","0","3071900","13.45","19.14","0.00","0.00","16.2.B"
"392","0","3072100","13.45","19.14","0.00","0.00","16.2.B"
"393","0","3072900","13.45","19.14","0.00","0.00","16.2.B"
"394","0","3073100","13.45","19.14","0.00","0.00","16.2.B"
"395","0","3073900","13.45","19.14","0.00","0.00","16.2.B"
"396","0","3074100","13.45","19.14","0.00","0.00","16.2.B"
"397","0","3074911","13.45","19.14","0.00","0.00","16.2.B"
"398","0","3074919","13.45","19.14","0.00","0.00","16.2.B"
"399","0","3074990","13.45","19.14","0.00","0.00","16.2.B"
"400","0","3075100","13.45","19.14","0.00","0.00","16.2.B"
